ID,People
740,"Stevens, John Paul"
741,"Summitt, Patricia H."
742,"Kaur, Gursharan"
743,"Krishna, Somanahalli Mallaiah"
744,"Singh, Manmohan."
745,"Hoyer, Steny H."
746,"McCarthy, Carolyn"
747,"Miller, Gary G."
748,Geithner. Timothy F.
749,"Harper, Stephen"
750,"Kagan, Elena"
751,"Kan, Naoto"
752,"Karzai, Hamid"
753,Lee Myung-bak
754,"McChrystal, Stanley A."
755,"Blair, Tony"
756,"Cuetara, Jay"
757,"Frawley, Bonnie C."
758,"Hamburg, Margaret A."
759,"Casey, Robert P., Jr."
760,"Fattah, Chaka"
761,"Griffin, Elliot"
762,"Lyons, Quincy"
763,"Nutter, Michael A."
764,"Onorato, Dan"
765,"Rendell, Edward G."
766,"Sestak, Joe"
767,"Specter, Arlen"
768,"Oren, Michael B."
769,"Kan, Naoto."
770,"Blumenthal, Richard"
771,"DeLauro, Rosa L."
772,"Finch, William A."
773,"Himes, James A."
774,"Malloy, Dannel"
775,"Daley, William M."
776,"Lew, Jacob J. ""Jack"""
777,"Lew, Ruth"
778,"Abe, Shinzo"
779,"Duterte, Rodrigo"
780,"Els, T. Ernest"
781,"Matsuyama, Hideki"
782,"Greenblatt, Jonathan A"
783,"Carson, Jon"
784,"Engel, Eliot L."
785,"Messina, James A."
786,"Patrick, Deval L."
787,"Berrey, John"
788,"Black Eagle, Hartford"
789,"Black Eagle, Mary"
790,"Cannon, Caroline"
791,"Dorgan, Byron L."
792,"EchoHawk, Larry"
793,"Gillette, Jodi Archambault"
794,"Herseth Sandlin, Stephanie"
795,"Jackson, Clarence, Jr."
796,"Keel, Jefferson"
797,"Levings, Marcus D."
798,"Martin, William E."
799,"Reft, Alicia"
800,"Teehee, Kimberly K."
801,"Baker, Charles D."
802,"Hogan, Lawrence J., Jr."
803,"Raimondo, Gina M."
804,"Rauner, Bruce V."
805,"Walker, William M."
806,"Wolf, Thomas W."
807,"Cook, Barbara"
808,"Diamond, Neil L."
809,"Eastwood, Clinton, Jr."
810,"Grommer, Don"
811,"Kaiser, Michael M."
812,"Kennedy, Caroline B."
813,"Ma, Yo-Yo"
814,"Posner, Jaye ""Posey"""
815,"Rollins, Theodore ""Sonny"""
816,"Rubenstein, David M."
817,"Stevens, George, Jr."
818,"Stevens, Michael"
819,"Streep, Mary Louise ""Meryl"""
820,"Thatcher, Margaret H."
821,"Callahan, John B."
822,"Carney, Christopher P."
823,"Cunningham, Donald"
824,"Kanjorski, Paul E."
825,"Kennedy, Susan C."
826,"Martin, Leonard"
827,"McCall, Keith R."
828,"Pawlowski, Ed"
829,"Romer, Christina D."
830,"Schmidt, Eric E."
831,"Schwartz, Allyson Y."
832,"Aronson, Bernard W."
833,"Cabrera, Orlando"
834,"Castano, Jeison ""Jeihco"""
835,"Leguizamo, John"
836,"Mebarak Ripoll, Shakira Isabel"
837,"Montoya, Juan Pablo"
838,"Pastrana, Andres"
839,"Rodriguez de Santos, Maria Clemencia"
840,"Santos Calderon, Juan Manuel"
841,"Santos, Esteban"
842,"Santos, Martin"
843,"Vergara, Sofia"
844,"Vives, Carlos"
845,"Abedini, Jacob"
846,"Abedini, Naghmeh"
847,"Abedini, Rebekka"
848,"Abedini, Saeed"
849,"Bae, Kenneth"
850,"Brantly, Amber J."
851,"Brantly, Kent P."
852,Dalai Lama Tenzin Gyatso
853,"Francis, Pope"
854,"Saperstein, David N."
855,"Scullion, Sister Mary"
856,"Waltrip, Darrell L."
857,"Waltrip, Stevie"
858,"Wicker, Roger F."
859,"Martelly, Michel"
860,"Bowles, Erskine B."
861,"Carney, James F. ""Jay"""
862,"Simpson, Alan K."
863,"Bell, Thomas D., Jr."
864,"Case, Stephen"
865,"Donahue, Thomas J."
866,"Immelt, Jeffrey R."
867,"Littlefield, Elizabeth L."
868,"Sperling, Gene B."
869,"Trumka, Richard L."
870,"Andersen, Leslie R."
871,"Burgess, Kenneth L., Jr."
872,"Cundiff, Luanne"
873,"Heitkamp, R. Scott"
874,"Rainey, Rebeca Romero"
875,"Savarese, Dorothy A."
876,"Stewart, Laura Lee"
877,"Szyperski, Jeffrey M."
878,"Zimmerman, Timothy K."
879,"Kennedy, Owen"
880,"Kennedy, Patrick J."
881,"Menino, Thomas M."
882,"Strickland, Theodore"
883,"Walsh, Martin J."
884,"Small, La Donica M. ""Donnie"""
885,"Warner, Mark R."
886,"Schei, Devin"
887,"Shulkin, David J."
888,"Zinke, Ryan K."
889,"Becker, Ralph E., Jr."
890,"Bishop, Robert W."
891,"Buhler, Carl A."
892,"Herbert, Gary R."
893,"Jolly, Ronald E., Sr."
894,"Wyden, Ronald L."
895,"Kline, John P."
896,"Bennett, Robert F."
897,"Carter, Ashton B."
898,"Dempsey, Deanie"
899,"Dunford, Ellyn"
900,"Dunford,, Joseph F., Jr."
901,"Reed, John F."
902,"Selva, Paul J."
903,"Selva, Ricki S."
904,"Winnefeld, James A. ""Sandy,"" Jr."
905,"Winnefeld, Mary"
906,"Alcocer Martinez de Castro, Sergio M."
907,"Andrés Puerta, José Ramón"
908,"Forsyth Mejia, Harold Winston"
909,"Hinojosa, Rubén E."
910,"Jinich, Patricia"
911,"Mora Icaza, Eduardo Medina"
912,"Chinchilla Miranda, Laura"
913,"Crocker, Ryan C."
914,"Spanta, Rangin Dadafar"
915,"Cartwright, James E. ""Hoss"""
916,"Duckworth, L. Tammy"
917,"Edinger, Nickolas"
918,"Kent, Corey"
919,"Wade, Edward"
920,"Wade, Sarah"
921,"Dobson, James C., Jr."
922,"Dobson, Shirley"
923,"Jacobs, Brittany"
924,"Jacobs, Christian"
925,"Kelly, John F."
926,"Reed, Jo Anne"
927,"Reed, Ralph E., Jr."
928,"Brigance, Orenthial J."
929,"Flacco, Joseph V."
930,"Harbaugh, James J."
931,"Harbaugh, John"
932,"Jones, Jacoby R."
933,"Lewis, Raymond A., Jr."
934,"Newsome, Ozzie, Jr."
935,"Reed, Edward E., Jr."
936,"Smith, J. Torrey"
937,"Buffett, Warren E."
938,"Emanuel, Rahm I."
939,"McCain, John S."
940,"Rao, Nirupama"
941,"Roemer, Timothy J."
942,"Shankar, Meera"
943,"Singh, Manmohan"
